Review_ID,Review_Score,Review_Comment_Message,Review_Creation_Date,Review_Answer_Timestamp
1,4,Wow!,1/18/2018 0:00,1/18/2018 21:46
2,5,Good,3/10/2018 0:00,3/11/2018 3:05
3,5,"Wow, 3 years ago when i ordered some furniture there it was incredible service ;)) Just crazy",2/17/2018 0:00,2/18/2018 14:36
4,5,Great service !,4/21/2017 0:00,4/21/2017 22:02
5,5,recommend,3/1/2018 0:00,3/2/2018 10:26
6,1,I received poor quality furniture,4/13/2018 0:00,4/16/2018 0:39
7,5,Excellent service; great selection,7/16/2017 0:00,7/18/2017 19:30
8,5,recommend,8/14/2018 0:00,8/14/2018 21:36
9,5,Defects in fabrics,5/17/2017 0:00,5/18/2017 12:05
10,4,recommend,5/22/2018 0:00,5/23/2018 16:45
11,5,Excellent service; great selection,12/23/2017 0:00,12/26/2017 14:36
12,5,recommend,12/19/2017 0:00,12/20/2017 10:25
13,4,Good,2/16/2018 0:00,2/20/2018 10:52
14,4,Kenny is excellent,3/28/2018 0:00,3/30/2018 15:10
15,3,Great Couch & Great Service,4/30/2017 0:00,5/3/2017 0:02
16,5,Super recommend,5/23/2018 0:00,5/24/2018 3:00
17,2,recommend,1/18/2018 0:00,1/20/2018 21:25
18,5,Good,3/24/2018 0:00,3/26/2018 15:58
19,3,Best place for furniture with amazingly low price,9/29/2017 0:00,10/2/2017 1:12
20,1,Don't recommend,8/15/2018 0:00,8/15/2018 4:10
21,4,Overall great experience except for prices/selection,10/6/2017 0:00,10/8/2017 22:36
22,5,recommend,3/17/2018 0:00,4/4/2018 19:41
23,5,Recommend,7/10/2018 0:00,7/11/2018 14:10
24,5,Great service,9/9/2017 0:00,10/17/2017 2:25
25,5,Overall great experience except for prices/selection,12/1/2017 0:00,12/9/2017 22:58
26,5,Great service,6/23/2017 0:00,6/27/2017 0:52
27,4,Good,11/1/2017 0:00,11/1/2017 20:25
28,5,Great service,3/23/2018 0:00,4/1/2018 0:27
29,5,Excellent service; great selection,3/29/2018 0:00,4/2/2018 14:19
30,1,Kenny is excellent,12/13/2017 0:00,12/16/2017 7:14
31,5,I received poor quality furniture,1/18/2018 0:00,1/18/2018 19:12
32,5,Great service,7/19/2017 0:00,7/20/2017 10:38
33,1,I received poor quality furniture,4/8/2018 0:00,4/9/2018 12:22
34,5,Well,8/25/2018 0:00,8/26/2018 22:02
35,4,Good,6/7/2018 0:00,6/9/2018 18:44
36,5,Overall great experience except for prices/selection,9/12/2017 0:00,9/13/2017 14:33
37,5,Well,6/13/2018 0:00,6/13/2018 22:54
38,5,Excellent service; great selection,3/22/2018 0:00,3/30/2018 23:37
39,5,Marvellous,8/10/2018 0:00,8/11/2018 0:22
40,1,Kenny is excellent,4/21/2017 0:00,4/23/2017 5:37
41,2,Great service,5/13/2018 0:00,5/14/2018 16:29
42,1,Great Couch & Great Service,2/8/2018 0:00,2/10/2018 4:28
43,5,Great service,12/5/2017 0:00,12/7/2017 23:34
44,5,Defects in fabrics,6/13/2018 0:00,6/14/2018 17:29
45,5,Excellent service; great selection,3/11/2018 0:00,3/14/2018 0:38
46,4,Great Couch & Great Service,3/29/2018 0:00,3/31/2018 0:13
47,5,Excellent service; great selection,1/25/2018 0:00,2/18/2018 23:03
48,5,Excellent service; great selection,5/13/2017 0:00,5/14/2017 2:57
49,5,I received poor quality furniture,9/22/2017 0:00,9/23/2017 13:57
50,5,Marvellous,4/24/2018 0:00,4/25/2018 16:01
51,5,Kenny is excellent,5/19/2017 0:00,5/21/2017 3:04
52,1,Defects in fabrics,1/28/2018 0:00,2/4/2018 11:06
53,5,Wow!,7/14/2018 0:00,7/16/2018 20:09
54,5,Good,6/2/2018 0:00,6/2/2018 23:15
55,5,"Wow, 3 years ago when i ordered some furniture there it was incredible service ;)) Just crazy",12/15/2017 0:00,12/17/2017 14:43
56,5,Great service !,3/21/2017 0:00,3/22/2017 0:58
57,3,recommend,5/10/2018 0:00,5/13/2018 22:51
58,3,I received poor quality furniture,10/27/2017 0:00,10/27/2017 16:12
59,4,Excellent service; great selection,5/31/2018 0:00,6/4/2018 23:44
60,5,recommend,7/25/2018 0:00,7/25/2018 21:37
61,5,Defects in fabrics,4/3/2018 0:00,4/3/2018 23:39
62,5,recommend,6/2/2017 0:00,6/3/2017 13:12
63,5,Excellent service; great selection,4/18/2018 0:00,4/18/2018 22:30
64,5,recommend,2/20/2018 0:00,2/21/2018 1:40
65,4,Good,4/4/2018 0:00,4/6/2018 15:43
66,5,Kenny is excellent,2/27/2018 0:00,3/2/2018 8:33
67,5,Great Couch & Great Service,6/3/2018 0:00,6/6/2018 12:41
68,5,Super recommend,8/17/2018 0:00,8/17/2018 21:47
69,1,recommend,12/9/2016 0:00,12/19/2016 14:10
70,5,Good,8/9/2017 0:00,8/9/2017 12:03
71,3,Best place for furniture with amazingly low price,7/14/2018 0:00,7/14/2018 21:04
72,5,Don't recommend,4/10/2018 0:00,4/12/2018 10:28
73,4,Overall great experience except for prices/selection,1/31/2018 0:00,2/1/2018 2:09
74,3,recommend,11/9/2017 0:00,11/10/2017 10:38
75,5,Recommend,8/28/2018 0:00,8/29/2018 2:00
76,3,Great service,1/31/2018 0:00,1/31/2018 23:29
77,1,Overall great experience except for prices/selection,7/3/2018 0:00,7/5/2018 19:03
78,5,Great service,7/29/2017 0:00,8/1/2017 18:43
79,4,Good,6/14/2018 0:00,6/18/2018 22:53
80,5,Great service,6/19/2018 0:00,6/19/2018 17:44
81,5,Excellent service; great selection,8/9/2017 0:00,8/11/2017 23:28
82,5,Kenny is excellent,1/12/2018 0:00,1/14/2018 22:44
83,5,I received poor quality furniture,4/6/2018 0:00,4/7/2018 3:11
84,4,Great service,3/31/2017 0:00,4/1/2017 23:43
85,5,I received poor quality furniture,2/23/2018 0:00,2/23/2018 11:06
86,5,Well,5/15/2018 0:00,5/20/2018 13:57
87,5,Good,4/24/2018 0:00,4/25/2018 20:28
88,3,Overall great experience except for prices/selection,3/23/2017 0:00,3/23/2017 21:20
89,5,Well,1/4/2018 0:00,1/5/2018 23:30
